current,voltage,capacity
1299.8,3.3829,8.4
1299.8,3.3832,8.4
1299.8,3.3835,8.4
1299.8,3.3838,8.5
1299.8,3.3841,8.5
1299.8,3.3844,8.6
1299.8,3.3847,8.6
1299.8,3.3851,8.6
1299.8,3.3854,8.7
1299.8,3.3857,8.7
1299.8,3.386,8.7
1299.8,3.3863,8.8
1299.8,3.3866,8.8
1299.8,3.3866,8.8
1299.8,3.3872,8.9
1299.8,3.3875,8.9
1299.8,3.3878,8.9
1299.8,3.3882,9
1299.8,3.3885,9
1299.8,3.3888,9.1
1299.8,3.3891,9.1
1299.8,3.3894,9.1
1299.8,3.3897,9.2
1299.8,3.39,9.2
1299.8,3.39,9.2
1299.8,3.3906,9.3
1299.8,3.3909,9.3
1299.8,3.3909,9.3
1299.8,3.3913,9.4
1299.8,3.3916,9.4
1299.8,3.3919,9.5
1299.8,3.3922,9.5
1299.8,3.3925,9.5
1299.8,3.3928,9.6
1299.8,3.3931,9.6
1299.8,3.3934,9.6
1299.8,3.3934,9.7
1299.8,3.3937,9.7
1299.8,3.3944,9.7
1299.8,3.3947,9.8
1299.8,3.395,9.8
1299.8,3.3953,9.9
1299.8,3.3956,9.9
1299.8,3.3959,9.9
1299.8,3.3959,10
1299.8,3.3962,10
1299.8,3.3965,10
1299.8,3.3968,10.1
1299.8,3.3971,10.1
1299.8,3.3975,10.1
1299.8,3.3978,10.2
1299.8,3.3978,10.2
1299.8,3.3981,10.2
1299.8,3.3984,10.3
1299.8,3.3987,10.3
1299.8,3.399,10.4
1299.8,3.3993,10.4
1299.8,3.3996,10.4
1299.8,3.3996,10.5
1299.8,3.3999,10.5
1299.8,3.4002,10.5
1299.8,3.4006,10.6
1299.8,3.4009,10.6
1299.8,3.4015,10.6
1299.8,3.4018,10.7
1299.8,3.4018,10.7
1299.8,3.4021,10.8
1299.8,3.4024,10.8
1299.8,3.4027,10.8
1299.8,3.403,10.9
1299.8,3.4033,10.9
1299.8,3.4033,10.9
1299.8,3.4037,11
1299.8,3.404,11
1299.8,3.4043,11
1299.8,3.4046,11.1
1299.8,3.4049,11.1
1299.8,3.4052,11.1
1299.8,3.4052,11.2
1299.8,3.4055,11.2
1299.8,3.4058,11.3
1299.8,3.4061,11.3
