198,7.06,5.00,22.75,0.001251,0.001251
738,7.08,5.00,22.75,0.003412,0.004664
1272,7.06,5.00,22.75,0.003375,0.008038
1806,7.06,5.03,22.86,0.003391,0.011429
2343,7.06,5.03,22.86,0.003410,0.014839
2878,7.06,5.00,22.75,0.003381,0.018220
3411,7.06,5.00,22.75,0.003368,0.021588
3946,7.06,5.03,22.86,0.003397,0.024985
4480,7.06,5.03,22.86,0.003391,0.028376
5014,7.08,5.03,22.86,0.003391,0.031767
5549,7.03,5.00,22.75,0.003381,0.035148
6083,7.08,5.03,22.86,0.003391,0.038539
6621,7.06,5.05,22.97,0.003433,0.041972
7160,7.06,5.03,22.86,0.003423,0.045395
7694,7.06,5.05,22.97,0.003407,0.048802
8228,7.06,5.05,22.97,0.003407,0.052210
8762,7.06,5.05,22.97,0.003407,0.055617
9296,7.06,5.05,22.97,0.003407,0.059025
9831,7.06,5.05,22.97,0.003414,0.062438
10365,7.06,5.05,22.97,0.003407,0.065846
10899,7.03,5.05,22.97,0.003407,0.069253
11435,7.03,5.03,22.86,0.003404,0.072657
11969,7.06,5.05,22.97,0.003407,0.076064
12507,7.06,5.05,22.97,0.003433,0.079497
13043,7.06,5.03,22.86,0.003404,0.082901
13578,7.06,5.03,22.86,0.003397,0.086298
14114,7.06,5.00,22.75,0.003387,0.089685
14649,7.06,5.00,22.75,0.003381,0.093066
15183,7.06,5.03,22.86,0.003391,0.096457
15718,7.06,5.03,22.86,0.003397,0.099854
16252,7.06,5.03,22.86,0.003391,0.103245
16787,7.06,5.03,22.86,0.003397,0.106643
17325,7.06,5.00,22.75,0.003400,0.110043
17858,7.06,5.03,22.86,0.003385,0.113427
18393,7.08,5.03,22.86,0.003397,0.116824
18926,7.06,5.03,22.86,0.003385,0.120209
19461,7.06,5.05,22.97,0.003414,0.123623
19998,7.06,5.03,22.86,0.003410,0.127033
20536,7.06,5.00,22.75,0.003400,0.130433
21070,7.06,5.00,22.75,0.003375,0.133807
21605,7.06,5.00,22.75,0.003381,0.137188
22142,7.06,4.98,22.64,0.003377,0.140565
22676,7.06,4.98,22.64,0.003358,0.143923
23211,7.06,4.98,22.64,0.003364,0.147287
23745,7.03,4.98,22.64,0.003358,0.150645
24279,7.06,5.00,22.75,0.003375,0.154020
24813,7.06,5.00,22.75,0.003375,0.157394
25348,7.06,5.00,22.75,0.003381,0.160775
25882,7.06,4.96,22.53,0.003342,0.164117
26420,7.03,5.00,22.75,0.003400,0.167516
26957,7.03,5.00,22.75,0.003393,0.170910
27494,7.06,5.00,22.75,0.003393,0.174303
28028,7.06,5.00,22.75,0.003375,0.177678
28562,7.03,4.98,22.64,0.003358,0.181036
29096,7.03,4.98,22.64,0.003358,0.184394
29631,7.06,4.98,22.64,0.003364,0.187758
30166,7.03,5.00,22.75,0.003381,0.191139
30700,7.03,4.98,22.64,0.003358,0.194497
31235,7.03,4.98,22.64,0.003364,0.197861
31769,7.06,4.96,22.53,0.003342,0.201203
