164,8.20,23,Closed
820,8.20,23,Closed
1467,8.18,23,Closed
2115,8.20,23,Closed
2762,8.18,23,Closed
3414,8.20,22,Closed
4061,8.18,22,Closed
4708,8.20,22,Closed
5355,8.20,22,Closed
6003,8.18,22,Closed
6654,8.18,22,Closed
7302,8.20,22,Closed
7949,8.20,22,Closed
8596,8.20,22,Closed
9244,8.20,22,Closed
9895,8.18,21,Closed
10543,8.18,21,Closed
11190,8.20,21,Closed
11838,8.20,21,Closed
12485,8.20,21,Closed
13136,8.20,21,Closed
13784,8.18,21,Closed
14431,8.20,21,Closed
15081,8.18,21,Closed
15729,8.18,21,Closed
16382,8.18,21,Closed
17030,8.18,21,Closed
17678,8.18,20,Closed
18325,8.20,20,Closed
18973,8.18,20,Closed
19623,8.18,20,Closed
20271,8.18,20,Closed
20918,8.20,20,Closed
21566,8.20,20,Closed
22214,8.20,20,Closed
22864,8.18,20,Closed
23512,8.20,20,Closed
24159,8.20,20,Closed
24807,8.20,20,Closed
25455,8.18,20,Closed
26105,8.20,20,Closed
26753,8.18,19,Closed
27400,8.18,19,Closed
28048,8.18,19,Closed
28695,8.18,19,Closed
29346,8.18,19,Closed
29996,8.18,19,Closed
30644,8.18,19,Closed
31295,8.18,19,Closed
31945,8.18,19,Closed
32592,8.18,19,Closed
33240,8.18,19,Closed
33888,8.20,19,Closed
34536,8.18,19,Closed
35186,8.18,19,Closed
35833,8.18,18,Closed
36481,8.18,18,Closed
37129,8.18,18,Closed
37776,8.20,18,Closed
38427,8.18,18,Closed
39074,8.20,18,Closed
39721,8.20,18,Closed
40369,8.18,18,Closed
41017,8.18,18,Closed
41667,8.20,18,Closed
42314,8.18,18,Closed
42961,8.20,18,Closed
43610,8.18,18,Closed
44258,8.20,18,Closed
44911,8.18,17,Closed
45558,8.18,17,Closed
46209,8.18,17,Closed
46857,8.20,17,Closed
47504,8.20,17,Closed
48154,8.18,17,Closed
48801,8.18,17,Closed
49449,8.18,17,Closed
50097,8.20,17,Closed
50745,8.20,17,Closed
51395,8.18,17,Closed
52042,8.18,17,Closed
52689,8.18,17,Closed
53337,8.18,17,Closed
53985,8.20,16,Closed
54635,8.18,16,Closed
55282,8.18,16,Closed
55930,8.18,16,Closed
56578,8.20,16,Closed
57226,8.18,16,Closed
57876,8.18,16,Closed
58523,8.18,16,Closed
59170,8.20,16,Closed
59819,8.18,16,Closed
60469,8.18,16,Closed
61122,8.18,16,Closed
61769,8.20,16,Closed
